0.0289,0.734,0.697,,,
0.0642,0.788,0.722,,,
0.0609,0.784,0.722,,,
0.0263,0.729,0.696,,,
0.0949,0.785,0.719,,,
0.0842,0.781,0.727,,,
0.0124,0.708,0.684,,,
0.0603,0.785,0.719,,,
0.0848,0.792,0.741,,,
0.0754,0.798,0.726,,,
0.095,0.795,0.729,,,
0.0884,0.808,0.739,,,
0.0094,0.702,0.680,,,
0.0888,0.659,0.612,,,
0.025,0.727,0.693,,,
0.05,0.764,0.711,,,
0.0522,0.772,0.715,,,
0.0327,0.741,0.700,,,
0.0385,0.751,0.706,,,
0.0701,0.790,0.726,,,
0.00553,0.696,0.678,,,
0.0624,0.787,0.723,,,
0.0455,0.759,0.710,,,
0.0604,0.782,0.727,,,
0.021,0.722,0.691,,,
0.0286,0.732,0.699,,,
0.0553,0.774,0.717,,,
0.0111,0.706,0.683,,,
0.0724,0.789,0.728,,,
0.0424,0.757,0.711,,,
0.0514,0.769,0.717,,,
0.0675,0.789,0.727,,,
0.0845,0.798,0.744,,,
0.0994,0.790,0.706,,,
0.029,0.733,0.700,,,
0.0464,0.761,0.710,,,
0.06,0.781,0.722,,,
0.000318,0.683,0.669,,,
0.0264,0.730,0.696,,,
0.0251,0.727,0.695,,,
0.0691,0.792,0.731,,,
0.0779,0.788,0.741,,,
0.0566,0.775,0.722,,,
0.0174,0.715,0.688,,,
0.0955,0.814,0.748,,,
0.0409,0.754,0.706,,,
0.00494,0.695,0.677,,,
0.0946,0.803,0.735,,,
0.0203,0.720,0.690,,,
0.017,0.715,0.687,,,
0.0325,0.738,0.699,,,
0.0144,0.711,0.686,,,
0.0772,0.801,0.741,,,
0.0691,0.790,0.727,,,
0.0107,0.705,0.682,,,
0.044,0.756,0.710,,,
0.0197,0.719,0.691,,,
0.089,0.803,0.734,,,
0.0163,0.714,0.688,,,
0.0805,0.800,0.720,,,
0.0928,0.799,0.728,,,
0.00478,0.695,0.677,,,
0.0547,0.771,0.714,,,
0.066,0.791,0.723,,,
0.0464,0.758,0.707,,,
0.0508,0.771,0.717,,,
0.0575,0.773,0.726,,,
0.0535,0.774,0.716,,,
0.0313,0.740,0.698,,,
0.043,0.752,0.709,,,
0.051,0.771,0.715,,,
0.0519,0.772,0.719,,,
0.0531,0.772,0.712,,,
0.00703,0.698,0.678,,,
0.0609,0.781,0.719,,,
0.0284,0.732,0.699,,,
0.0393,0.753,0.706,,,
0.0933,0.793,0.734,,,
0.0373,0.749,0.701,,,
0.00991,0.703,0.681,,,
0.0862,0.797,0.743,,,
0.0958,0.777,0.708,,,
0.0551,0.766,0.723,,,
0.0512,0.771,0.717,,,
0.0233,0.725,0.693,,,
0.067,0.785,0.717,,,
0.00891,0.701,0.680,,,
0.052,0.766,0.707,,,
0.03,0.733,0.695,,,
0.0308,0.737,0.696,,,
0.0642,0.787,0.722,,,
0.0477,0.764,0.712,,,
0.0386,0.750,0.703,,,
0.0934,0.775,0.693,,,
0.0558,0.778,0.716,,,
0.0076,0.699,0.679,,,
0.0468,0.762,0.709,,,
0.0932,0.794,0.738,,,
0.0319,0.738,0.702,,,
0.0693,0.791,0.722,,,
0.0371,0.748,0.703,,,
0.025,0.727,0.694,,,
0.0816,0.807,0.739,,,
0.00639,0.697,0.679,,,
0.0886,0.797,0.746,,,
0.0482,0.762,0.709,,,
0.0554,0.775,0.720,,,
0.0917,0.790,0.733,,,
0.000445,0.687,0.672,,,
0.0917,0.798,0.740,,,
0.0867,0.808,0.736,,,
0.0728,0.787,0.722,,,
0.0383,0.750,0.699,,,
0.0443,0.757,0.715,,,
0.0403,0.754,0.706,,,
0.0187,0.717,0.690,,,
0.0167,0.714,0.688,,,
0.0577,0.774,0.717,,,
0.00379,0.693,0.676,,,
0.0719,0.799,0.735,,,
0.0305,0.735,0.699,,,
0.0351,0.746,0.703,,,
0.0288,0.734,0.697,,,
0.0213,0.722,0.692,,,
0.0901,0.800,0.733,,,
0.0223,0.723,0.692,,,
0.0124,0.707,0.683,,,
0.0811,0.810,0.740,,,
0.0807,0.799,0.721,,,
0.0647,0.785,0.733,,,
0.0961,0.796,0.717,,,
0.054,0.772,0.720,,,
0.00284,0.692,0.675,,,
0.00337,0.692,0.676,,,
0.019,0.718,0.691,,,
0.0275,0.730,0.695,,,
0.0357,0.746,0.704,,,
0.0665,0.785,0.722,,,
0.0891,0.803,0.739,,,
0.0125,0.707,0.683,,,
0.0997,0.810,0.735,,,
0.073,0.801,0.735,,,
0.0798,0.806,0.737,,,
0.0422,0.756,0.708,,,
0.0338,0.743,0.703,,,
0.019,0.718,0.690,,,
0.0159,0.713,0.687,,,
0.0485,0.764,0.717,,,
0.0747,0.798,0.724,,,
0.0835,0.783,0.744,,,
0.0637,0.782,0.726,,,
0.0904,0.810,0.739,,,
0.00774,0.699,0.679,,,
0.0101,0.703,0.681,,,
0.0238,0.726,0.693,,,
0.00504,0.695,0.678,,,
0.073,0.799,0.730,,,
0.033,0.741,0.702,,,
0.0773,0.795,0.727,,,
0.0157,0.713,0.686,,,
0.0482,0.761,0.708,,,
0.0316,0.739,0.699,,,
0.0235,0.724,0.694,,,
0.0155,0.712,0.687,,,
0.0954,0.795,0.723,,,
0.0585,0.780,0.722,,,
0.0652,0.775,0.711,,,
0.00975,0.702,0.680,,,
0.0289,0.733,0.699,,,
0.0911,0.810,0.743,,,
0.0842,0.805,0.745,,,
0.0762,0.797,0.741,,,
0.000111,0.455,0.467,,,
0.0171,0.714,0.686,,,
0.0889,0.812,0.748,,,
0.0247,0.727,0.695,,,
0.00602,0.696,0.677,,,
0.0758,0.797,0.737,,,
0.0397,0.753,0.705,,,
0.00668,0.698,0.678,,,
0.0678,0.793,0.729,,,
0.0266,0.730,0.696,,,
0.0495,0.770,0.717,,,
0.0611,0.777,0.720,,,
0.0085,0.700,0.680,,,
0.00091,0.689,0.672,,,
0.0549,0.776,0.714,,,
0.0988,0.787,0.739,,,
0.0842,0.785,0.726,,,
0.0281,0.731,0.697,,,
0.0735,0.799,0.730,,,
0.0738,0.797,0.725,,,
0.0285,0.732,0.696,,,
0.0503,0.770,0.718,,,
0.0928,0.779,0.739,,,
0.0465,0.763,0.712,,,
0.0569,0.778,0.719,,,
0.0118,0.707,0.684,,,
0.0324,0.738,0.701,,,
0.0589,0.783,0.720,,,
